"","DATE","DAILY_COUNT","NET_COUNT_CHANGES","STL_TREND","AVG_7","STL_DAILY_CHANGE","STL_DAILY_CHANGE_PERC","AVG_7_WEEK_CHANGE","STL_WEEK_CHANGE","STL_WEEK_CHANGE_PERC"
"1",2021-12-12,203,203,305.269776374795,305.428571428571,2.50504275890563,"  0.83",-1.57142857142856,21.8775216331663,"  7.72"
"2",2021-12-11,290,290,302.764733615889,302.714285714286,2.30814806610249,"  0.77",-10.7142857142857,16.2420288920563,"  5.67"
"3",2021-12-10,375,375,300.456585549786,296.285714285714,2.06493643613612,"  0.69",-18,6.6342542695686,"  2.26"
"4",2021-12-09,289,-2,298.39164911365,292.428571428571,4.25423665671752,"  1.45",-18.5714285714286,-5.32781286924364," -1.75"
"5",2021-12-08,354,-2,294.137412456933,300.285714285714,6.68129097862328,"  2.32",-13.1428571428572,-15.8734725465484," -5.12"
"6",2021-12-07,388,0,287.45612147831,301.571428571429,3.55689913379962,"  1.25",-16.4285714285714,-23.2885196009197," -7.49"
"7",2021-12-06,239,-1,283.89922234451,308,0.506967602881616,"  0.18",-15.8571428571428,-21.249939031139," -6.96"
"8",2021-12-05,184,0,283.392254741628,307,-3.13044998220437," -1.09",-22.4285714285714,-15.6645857299535," -5.24"
"9",2021-12-04,245,0,286.522704723833,313.428571428571,-7.29962655638519," -2.48",-21.8571428571428,-13.2935984050138," -4.43"
"10",2021-12-03,348,0,293.822331280218,314.285714285714,-9.89713070267612," -3.26",-39.2857142857143,-14.1243351420786," -4.59"
"11",2021-12-02,344,0,303.719461982894,311,-6.29142302058722," -2.03",-62.8571428571428,-15.3718018208278," -4.82"
"12",2021-12-01,363,0,310.010885003481,313.428571428571,-0.733756075748033," -0.24",-68.2857142857143,-22.6349792092562," -6.80"
"13",2021-11-30,433,0,310.744641079229,318,5.59547970358028,"  1.83",-62.2857142857143,-37.33464681533,"-10.73"
"14",2021-11-29,232,0,305.149161375649,323.857142857143,6.09232090406715,"  2.04",-48,-56.9613274147192,"-15.73"
"15",2021-11-28,229,0,299.056840471582,329.428571428571,-0.759462657264692," -0.25",-49.7142857142857,-74.1680961582109,"-19.87"
"16",2021-11-27,251,0,299.816303128847,335.285714285714,-8.13036329344999," -2.64",-46.5714285714286,-80.0674222647877,"-21.08"
"17",2021-11-26,325,1,307.946666422297,353.571428571429,-11.1445973814253," -3.49",-25.1428571428572,-72.4302854337281,"-19.04"
"18",2021-11-25,361,0,319.091263803722,373.857142857143,-13.5546004090156," -4.07",-0.428571428571445,-55.2875161829512,"-14.77"
"19",2021-11-24,395,0,332.645864212737,381.714285714286,-15.4334236818218," -4.43",13.1428571428572,-35.5451523625434," -9.65"
"20",2021-11-23,474,0,348.079287894559,380.285714285714,-14.0312008958089," -3.87",-0.142857142857167,-18.3051130185693," -5.00"
"21",2021-11-22,271,0,362.110488790368,371.857142857143,-11.1144478394245," -2.98",-21,-6.58529257029346," -1.79"
"22",2021-11-21,270,0,373.224936629793,379.142857142857,-6.65878876384153," -1.75",-28.2857142857143,-0.0910366325763903," -0.02"
"23",2021-11-20,379,0,379.883725393634,381.857142857143,-0.493226462390396," -0.13",-25.5714285714286,3.09689525863661,"  0.82"
"24",2021-11-19,467,0,380.376951856025,378.714285714286,5.99817186935161,"  1.60",-39.5714285714286,0.433551870513611,"  0.11"
"25",2021-11-18,416,-1,374.378779986673,374.285714285714,6.18776341139221,"  1.68",-65.4285714285714,-13.4182244716463," -3.46"
"26",2021-11-17,385,0,368.191016575281,368.571428571429,1.8066156621523,"  0.49",-84.8571428571429,-33.9617854490952," -8.44"
"27",2021-11-16,415,0,366.384400913129,380.428571428571,-2.31138044753311," -0.63",-83.2857142857143,-51.9090305340635,"-12.41"
