"","TYPE","ZONE","CASES","DEATH","DATE"
"1","Medical","Calgary",4,0,2020-05-11
"2","Long-Term Care","Calgary",3,0,2020-05-11
"3","Long-Term Care","Calgary",4,0,2020-05-11
"4","Communal","North",86,0,2020-05-11
"5","Long-Term Care","Calgary",3,0,2020-05-11
"6","Restaurant","South",9,0,2020-05-11
"7","Private","Edmonton",43,0,2020-05-11
"8","Travel","Edmonton",3,0,2020-05-11
"9","Long-Term Care","Calgary",5,0,2020-05-11
"10","Long-Term Care","Calgary",5,0,2020-05-11
"11","Long-Term Care","Calgary",5,0,2020-05-11
"12","Social Service","Calgary",11,0,2020-05-11
"13","Long-Term Care","Calgary",7,0,2020-05-11
"14","Long-Term Care","Calgary",2,0,2020-05-11
"15","Long-Term Care","Calgary",11,0,2020-05-11
"16","Manufacturing","Calgary",6,0,2020-05-11
"17","Restaurant","South",1,0,2020-05-11
"18","Long-Term Care","Calgary",14,0,2020-05-11
"19","Long-Term Care","Calgary",25,4,2020-05-11
"20","Long-Term Care","North",27,4,2020-05-11
"21","Financial/Accounting","South",4,0,2020-05-11
"22","Food Manufacturing","Calgary",937,2,2020-05-11
"23","Food Manufacturing","South",682,1,2020-05-11
"24","Food Manufacturing","Calgary",40,0,2020-05-11
"25","Long-Term Care","South",28,5,2020-05-11
"26","Manufacturing","Calgary",11,0,2020-05-11
"27","Manufacturing","Calgary",11,0,2020-05-11
"28","Food Manufacturing","Calgary",5,0,2020-05-11
"29","Food Manufacturing","South",4,0,2020-05-11
"30","Manufacturing","Calgary",16,0,2020-05-11
"31","Food Manufacturing","South",1,0,2020-05-11
"32","Manufacturing","Calgary",17,0,2020-05-11
"33","Frontline","Edmonton",6,0,2020-05-11
"34","Grocery/Essential","Calgary",20,0,2020-05-11
"35","Manufacturing","Calgary",27,0,2020-05-11
"36","Manufacturing","Calgary",29,0,2020-05-11
"37","Manufacturing","Calgary",31,0,2020-05-11
"38","Grocery/Essential","South",7,0,2020-05-11
"39","Shelter","Calgary",24,0,2020-05-11
"40","Grocery/Essential","South",6,0,2020-05-11
"41","Long-Term Care","Edmonton",38,4,2020-05-11
"42","Long-Term Care","Calgary",41,6,2020-05-11
"43","Manufacturing","Calgary",68,0,2020-05-11
"44","Long-Term Care","Calgary",42,6,2020-05-11
"45","Manufacturing","Calgary",658,4,2020-05-11
"46","Long-Term Care","Calgary",45,7,2020-05-11
"47","Long-Term Care","Calgary",57,6,2020-05-11
"48","Long-Term Care","North",64,10,2020-05-11
"49","Private","North",17,0,2020-05-11
"50","Long-Term Care","Calgary",87,18,2020-05-11
"51","Acute Care","South",1,0,2020-05-11
"52","Long-Term Care","Calgary",93,22,2020-05-11
"53","Grocery/Essential","Calgary",2,0,2020-05-11
"54","Long-Term Care","Calgary",114,19,2020-05-11
"55","Private","North",21,0,2020-05-11
"56","Private","Calgary",30,1,2020-05-11
"57","Social Service","Edmonton",1,0,2020-05-11
"58","Social Service","Calgary",1,0,2020-05-11
"59","Long-Term Care","Edmonton",1,0,2020-05-11
"60","Long-Term Care","Calgary",1,0,2020-05-11
"61","Long-Term Care","Calgary",1,0,2020-05-11
"62","Long-Term Care","Calgary",1,0,2020-05-11
"63","Long-Term Care","Calgary",1,0,2020-05-11
"64","Business","South",7,0,2020-05-11
"65","Travel","Calgary",6,0,2020-05-11
"66","Acute Care","Edmonton",5,1,2020-05-11
"67","Gym/Sports","Calgary",1,0,2020-05-11
"68","Communal","North",4,0,2020-05-11
"69","Manufacturing","Edmonton",3,0,2020-05-11
"70","Long-Term Care","Calgary",2,0,2020-05-11
"71","Long-Term Care","Calgary",7,0,2020-05-11
"72","Restaurant","South",5,0,2020-05-11
"73","Church","Calgary",21,0,2020-05-11
"74","Church","Calgary",27,2,2020-05-11
"75","Correctional","Calgary",5,0,2020-05-11
"76","Social Service","Calgary",55,0,2020-05-12
"77","Group Home","South",1,0,2020-05-12
"78","Long-Term Care","Calgary",2,0,2020-05-12
"79","Long-Term Care","Calgary",2,0,2020-05-14
"80","Childcare","Calgary",2,0,2020-05-14
"81","Manufacturing","Calgary",9,0,2020-05-15
"82","Long-Term Care","Calgary",2,0,2020-05-15
"83","Long-Term Care","South",1,0,2020-05-15
"84","Long-Term Care","Calgary",1,0,2020-05-15
"85","Food Manufacturing","South",1,0,2020-05-17
"86","Auto Delearship","Calgary",6,0,2020-05-17
"87","Grocery/Essential","Calgary",5,0,2020-05-17
"88","Food Manufacturing","Calgary",7,0,2020-05-17
"89","Food Manufacturing","Calgary",8,0,2020-05-17
"90","Social Service","Calgary",1,0,2020-05-18
"91","Long-Term Care","Calgary",2,1,2020-05-19
"92","Social Service","Edmonton",1,0,2020-05-21
"93","Manufacturing","Calgary",5,0,2020-05-23
"94","Financial/Accounting","South",4,0,2020-05-23
"95","Manufacturing","Calgary",7,0,2020-05-24
"96","Childcare","Calgary",1,0,2020-05-25
