"DATE","AGE","HOSP","ICU","DEATHS","HOSP_CHANGE","ICU_CHANGE","DEATH_CHANGE","WEEK_NUM"
2020-10-15,"Under 1 year",3,0,0,NA,NA,NA,42
2020-10-18,"Under 1 year",3,0,0,0,0,0,42
2020-10-20,"Under 1 year",3,0,0,0,0,0,43
2020-10-22,"Under 1 year",4,0,0,1,0,0,43
2020-10-25,"Under 1 year",4,0,0,0,0,0,43
2020-10-27,"Under 1 year",4,0,0,0,0,0,44
2020-10-29,"Under 1 year",4,0,0,0,0,0,44
2020-11-03,"Under 1 year",4,0,0,0,0,0,45
2020-11-08,"Under 1 year",5,0,0,1,0,0,45
2020-11-09,"Under 1 year",6,0,0,1,0,0,46
2020-11-11,"Under 1 year",6,0,0,0,0,0,46
2020-11-12,"Under 1 year",6,0,0,0,0,0,46
2020-11-16,"Under 1 year",7,0,0,1,0,0,47
2020-11-18,"Under 1 year",7,0,0,0,0,0,47
2020-11-19,"Under 1 year",7,0,0,0,0,0,47
2020-11-20,"Under 1 year",7,0,0,0,0,0,47
2020-11-22,"Under 1 year",8,0,0,1,0,0,47
2020-11-23,"Under 1 year",8,0,0,0,0,0,48
2020-11-24,"Under 1 year",8,0,0,0,0,0,48
2020-11-25,"Under 1 year",8,0,0,0,0,0,48
2020-11-26,"Under 1 year",8,0,0,0,0,0,48
2020-11-27,"Under 1 year",9,0,0,1,0,0,48
2020-11-28,"Under 1 year",9,0,0,0,0,0,48
2020-11-29,"Under 1 year",9,0,0,0,0,0,48
2020-11-30,"Under 1 year",10,1,0,1,1,0,49
2020-12-01,"Under 1 year",10,1,0,0,0,0,49
2020-12-02,"Under 1 year",10,1,0,0,0,0,49
2020-12-03,"Under 1 year",11,1,0,1,0,0,49
2020-12-04,"Under 1 year",12,1,0,1,0,0,49
2020-12-05,"Under 1 year",12,1,0,0,0,0,49
2020-12-06,"Under 1 year",13,2,0,1,1,0,49
2020-12-07,"Under 1 year",13,2,0,0,0,0,50
2020-12-08,"Under 1 year",14,2,0,1,0,0,50
2020-12-09,"Under 1 year",14,2,0,0,0,0,50
2020-12-10,"Under 1 year",14,3,0,0,1,0,50
2020-12-11,"Under 1 year",15,3,0,1,0,0,50
2020-12-12,"Under 1 year",16,3,0,1,0,0,50
2020-12-13,"Under 1 year",17,3,0,1,0,0,50
2020-12-14,"Under 1 year",17,3,0,0,0,0,51
2020-12-15,"Under 1 year",17,3,0,0,0,0,51
2020-12-16,"Under 1 year",17,3,0,0,0,0,51
2020-12-17,"Under 1 year",17,3,0,0,0,0,51
2020-12-18,"Under 1 year",17,3,0,0,0,0,51
2020-12-19,"Under 1 year",17,3,0,0,0,0,51
2020-12-20,"Under 1 year",16,3,0,-1,0,0,51
2020-12-21,"Under 1 year",16,3,0,0,0,0,52
2020-12-22,"Under 1 year",17,4,0,1,1,0,52
2020-12-27,"Under 1 year",18,4,0,1,0,0,52
2020-12-28,"Under 1 year",21,7,0,3,3,0,53
2020-12-29,"Under 1 year",21,7,0,0,0,0,53
2021-01-03,"Under 1 year",28,8,0,7,1,0,53
2021-01-04,"Under 1 year",29,8,0,1,0,0,1
2021-01-05,"Under 1 year",30,8,0,1,0,0,1
2021-01-06,"Under 1 year",31,9,0,1,1,0,1
2021-01-07,"Under 1 year",33,10,0,2,1,0,1
2021-01-08,"Under 1 year",33,10,0,0,0,0,1
2021-01-09,"Under 1 year",33,10,0,0,0,0,1
2021-01-10,"Under 1 year",33,10,0,0,0,0,1
2021-01-11,"Under 1 year",33,10,0,0,0,0,2
2021-01-12,"Under 1 year",33,10,0,0,0,0,2
2021-01-13,"Under 1 year",33,10,0,0,0,0,2
2021-01-14,"Under 1 year",33,10,0,0,0,0,2
2021-01-15,"Under 1 year",34,10,0,1,0,0,2
2021-01-16,"Under 1 year",34,10,0,0,0,0,2
2021-01-17,"Under 1 year",34,10,0,0,0,0,2
2021-01-18,"Under 1 year",34,10,0,0,0,0,3
2021-01-19,"Under 1 year",34,10,0,0,0,0,3
2021-01-20,"Under 1 year",34,10,0,0,0,0,3
2021-01-21,"Under 1 year",34,10,0,0,0,0,3
2021-01-22,"Under 1 year",34,10,0,0,0,0,3
2021-01-23,"Under 1 year",34,10,0,0,0,0,3
2021-01-24,"Under 1 year",34,10,0,0,0,0,3
2021-01-25,"Under 1 year",34,10,0,0,0,0,4
2021-01-26,"Under 1 year",34,10,0,0,0,0,4
2021-01-28,"Under 1 year",34,10,0,0,0,0,4
2021-01-29,"Under 1 year",34,10,0,0,0,0,4
