"DATE","B117_CURR","SA351_CURR","P1_CURR","TOTAL_CURR","C_SUM_CURR","DAILY_COUNT","B117_DIFF","SA351_DIFF","P1_DIFF","TOTAL_DIFF","C_SUM_DIFF","DAILY_VOC_PERC","T_ACTIVE","VOC_ACTIVE","T_VOC","VOC_RECOV","VOC_DEATHS","VOC_SPEC","T_ACTIVE_PERC","T_SCREEN_PERC"
2020-12-15,1,0,0,1,1,1284,0,0,0,0,0,0.0778816199376947,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-16,0,0,0,0,1,1587,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-17,1,0,0,1,2,1456,0,0,0,0,0,0.0686813186813187,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-18,0,0,0,0,2,1368,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-19,0,0,0,0,2,1307,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-20,0,0,0,0,2,1251,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-21,1,0,0,1,3,1051,0,0,0,0,0,0.0951474785918173,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-22,1,0,0,1,4,1337,1,0,0,1,1,0.074794315632012,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-23,1,0,0,1,5,1131,0,0,0,0,1,0.0884173297966401,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-24,1,0,0,1,6,1239,0,0,0,0,1,0.0807102502017756,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-25,0,0,0,0,6,903,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-26,1,0,0,1,7,485,0,0,0,0,1,0.206185567010309,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-27,0,0,0,0,7,955,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-28,0,0,0,0,7,894,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-29,0,0,0,0,7,1365,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-30,0,0,0,0,7,1263,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2020-12-31,0,0,0,0,7,1361,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-01,4,0,0,4,11,921,0,0,0,0,1,0.434310532030402,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-02,1,0,0,1,12,465,0,0,0,0,1,0.21505376344086,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-03,1,1,0,2,14,1140,0,0,0,0,1,0.175438596491228,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-04,1,0,0,1,15,874,0,0,0,0,1,0.11441647597254,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-05,1,0,0,1,16,1148,0,0,0,0,1,0.0871080139372822,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-06,1,0,0,1,17,966,0,0,0,0,1,0.10351966873706,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-07,2,1,0,3,20,1176,0,0,0,0,1,0.255102040816327,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-08,1,0,0,1,21,982,0,0,0,0,1,0.10183299389002,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-09,3,0,0,3,24,809,0,0,0,0,1,0.370828182941904,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-10,0,0,0,0,24,628,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-11,0,0,0,0,24,673,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-12,2,0,0,2,26,868,0,0,0,0,1,0.230414746543779,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-13,1,0,0,1,27,968,0,0,0,0,1,0.103305785123967,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-14,1,0,0,1,28,778,0,0,0,0,1,0.12853470437018,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-15,4,1,0,5,33,703,0,0,0,0,1,0.711237553342816,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-16,6,0,0,6,39,743,0,0,0,0,1,0.807537012113055,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-17,0,1,0,1,40,460,0,0,0,0,1,0.217391304347826,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-18,1,1,0,2,42,462,0,0,0,0,1,0.432900432900433,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-19,0,0,0,0,42,669,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-20,2,1,0,3,45,671,0,0,0,0,1,0.447093889716841,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-21,2,0,0,2,47,642,0,0,0,0,1,0.311526479750779,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-22,3,0,0,3,50,569,0,0,0,0,1,0.527240773286467,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-23,2,0,0,2,52,451,0,0,0,0,1,0.443458980044346,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-24,1,0,0,1,53,358,0,0,0,0,1,0.279329608938547,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-25,9,1,0,10,63,363,0,0,0,0,1,2.75482093663912,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-26,0,0,0,0,63,469,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-27,4,0,0,4,67,476,0,0,0,0,1,0.840336134453782,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-28,12,0,0,12,79,519,0,0,0,0,1,2.3121387283237,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-29,4,0,0,4,83,388,0,0,0,0,1,1.03092783505155,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-30,6,0,0,6,89,468,0,0,0,0,1,1.28205128205128,NA,NA,NA,NA,NA,NA,NA,NA
2021-01-31,5,0,0,5,94,351,0,0,0,0,1,1.42450142450142,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-01,7,1,0,8,102,280,0,0,0,0,1,2.85714285714286,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-02,11,0,0,11,113,456,0,0,0,0,1,2.41228070175439,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-03,7,3,0,10,123,403,0,0,0,0,1,2.48138957816377,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-04,15,0,0,15,138,394,0,0,0,0,1,3.80710659898477,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-05,22,0,0,22,160,362,0,0,0,0,1,6.07734806629834,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-06,7,0,0,7,167,351,0,0,0,0,1,1.99430199430199,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-07,5,0,0,5,172,268,0,0,0,0,1,1.86567164179104,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-08,2,0,0,2,174,224,0,0,0,0,1,0.892857142857143,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-09,13,0,0,13,187,340,0,0,0,0,1,3.82352941176471,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-10,16,0,0,16,203,352,0,0,0,0,1,4.54545454545455,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-11,10,0,0,10,213,319,0,0,0,0,1,3.13479623824451,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-12,25,0,0,25,238,302,0,0,0,0,1,8.27814569536424,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-13,8,0,0,8,246,288,0,0,0,0,1,2.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-14,4,0,0,4,250,245,0,0,0,0,1,1.63265306122449,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-15,7,0,0,7,257,260,0,0,0,0,1,2.69230769230769,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-16,10,0,0,10,267,286,0,0,0,0,1,3.4965034965035,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-17,8,0,0,8,275,419,0,0,0,0,1,1.90930787589499,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-18,7,0,0,7,282,334,0,0,0,0,1,2.09580838323353,NA,NA,NA,NA,NA,NA,NA,NA
2021-02-19,15,0,0,15,297,382,0,0,0,0,1,3.92670157068063,NA,NA,NA,NA,NA,NA,NA,NA
