"","DATE","B117_CURR","SA351_CURR","P1_CURR","TOTAL_CURR","C_SUM_CURR","B117_PREV","SA351_PREV","P1_PREV","TOTAL_PREV","C_SUM_PREV","DAILY_COUNT","B117_DIFF","SA351_DIFF","P1_DIFF","TOTAL_DIFF","C_SUM_DIFF","DAILY_VOC_PERC","D_VOC_CASES_AS_PERC_TOTAL","T_ACTIVE","VOC_ACTIVE","T_VOC","VOC_RECOV","VOC_DEATHS","VOC_SPEC","T_ACTIVE_PERC","T_ACTIVE_PERC_DIFF","T_ACTIVE_PERC_DIR","T_SCREEN_PERC","ACTIVE_VOC_DIFF","ACTIVE_VOC_DIR","T_VOC_DIFF","T_VOC_DIR","VOC_RECOV_DIFF","VOC_RECOV_DIR","VOC_DEATH_DIFF","VOC_DEATH_DIR","VOC_SPEC_DIFF","VOC_SPEC_DIR"
"1",2020-12-15,1,0,0,1,1,1,0,0,1,1,1284,0,0,0,0,0,0.0778816199376947,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-12-16,0,0,0,0,1,0,0,0,0,1,1587,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-12-17,1,0,0,1,2,1,0,0,1,2,1456,0,0,0,0,0,0.0686813186813187,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-12-18,0,0,0,0,2,0,0,0,0,2,1368,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-12-19,0,0,0,0,2,0,0,0,0,2,1307,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-12-20,0,0,0,0,2,0,0,0,0,2,1251,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-12-21,1,0,0,1,3,1,0,0,1,3,1051,0,0,0,0,0,0.0951474785918173,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-12-22,1,0,0,1,4,1,0,0,1,4,1335,0,0,0,0,0,0.0749063670411985,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-12-23,1,0,0,1,5,1,0,0,1,5,1130,0,0,0,0,0,0.0884955752212389,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-12-24,1,0,0,1,6,1,0,0,1,6,1239,0,0,0,0,0,0.0807102502017756,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-12-25,0,0,0,0,6,0,0,0,0,6,903,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-12-26,1,0,0,1,7,1,0,0,1,7,485,0,0,0,0,0,0.206185567010309,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-12-27,0,0,0,0,7,0,0,0,0,7,956,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-12-28,0,0,0,0,7,0,0,0,0,7,894,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-12-29,0,0,0,0,7,0,0,0,0,7,1365,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-12-30,0,0,0,0,7,0,0,0,0,7,1263,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-12-31,0,0,0,0,7,0,0,0,0,7,1361,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2021-01-01,4,0,0,4,11,4,0,0,4,11,921,0,0,0,0,0,0.434310532030402,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2021-01-02,1,0,0,1,12,1,0,0,1,12,465,0,0,0,0,0,0.21505376344086,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2021-01-03,1,1,0,2,14,1,1,0,2,14,1139,0,0,0,0,0,0.175592625109745,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2021-01-04,1,0,0,1,15,1,0,0,1,15,874,0,0,0,0,0,0.11441647597254,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2021-01-05,1,0,0,1,16,1,0,0,1,16,1148,0,0,0,0,0,0.0871080139372822,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2021-01-06,1,0,0,1,17,1,0,0,1,17,966,0,0,0,0,0,0.10351966873706,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2021-01-07,2,1,0,3,20,2,1,0,3,20,1176,0,0,0,0,0,0.255102040816327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2021-01-08,1,0,0,1,21,1,0,0,1,21,982,0,0,0,0,0,0.10183299389002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2021-01-09,3,0,0,3,24,3,0,0,3,24,809,0,0,0,0,0,0.370828182941904,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2021-01-10,0,0,0,0,24,0,0,0,0,24,627,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
