"","DATE","ZONE","GOA_TYPE.x","LOCATION","GOA_TYPE.y","S_TYPE","L_TYPE","LAT","LONG","AKA"
"1",2021-05-15,"North","Other","Bethel Happy Daycare Beacon Hill, Fort McMurray","Other","Child care and education","Daycare",56.7174825302726,-111.357178130284,NA
"2",2021-05-15,"North","Other","Busy Bee Day Home, Grande Prairie","Other","Child care and education","Daycare",55.1646708804002,-118.763025830016,NA
"3",2021-05-15,"North","Other","Chez Madamme Piccolo/ cole Boral, Fort McMurray","Other","Child care and education","Daycare",56.7099232137721,-111.374734901133,NA
"4",2021-05-15,"North","Other","Explore and Discover Child Care Centre, Hinton","Other","Child care and education","Daycare",53.3961743354849,-117.594353112871,NA
"5",2021-05-15,"North","Other","MMA Silin Forest Campus, Fort McMurray","Other","Child care and education","Preschool education",56.7324186808267,-111.43669831277,NA
"6",2021-05-15,"North","Other","Private dayhome, County of Grande Prairie","Other","Child care and education","Daycare",55.1669930205968,-118.795897829367,NA
"7",2021-05-15,"North","Other","Stepping Stones South Daycare, Grande Prairie","Other","Child care and education","Daycare",55.1712904904329,-118.783886458852,NA
"8",2021-05-15,"North","Other","Sunshine Community Day Home, Fort McMurray","Other","Child care and education","Daycare",56.7245584077632,-111.464133872296,NA
"9",2021-05-15,"North","Other","YMCA Eagle Ridge Care Centre, Fort McMurray","Other","Child care and education","Daycare",56.7508269808321,-111.426876443459,NA
"10",2021-05-15,"Edmonton","Other","ABC Child Development Centre Daycare and Out of School Care, Edmonton","Other","Child care and education","Daycare",53.4753533073452,-113.528455872394,NA
"11",2021-05-15,"Edmonton","Other","Brightpath Windermere, Edmonton","Other","Child care and education","Daycare",53.4223076668865,-113.620461830068,NA
"12",2021-05-15,"Edmonton","Other","Bright Start Daycare and Out of School Care, Edmonton","Other","Child care and education","Daycare",53.5153188772765,-113.624840672393,NA
"13",2021-05-15,"Edmonton","Other","Fort Saskatchewan Boys & Girls Club","Other","Child care and education","Daycare",53.7024027850613,-113.207534372388,NA
"14",2021-05-15,"Edmonton","Other","Heritage Daycare Centre, Edmonton","Other","Child care and education","Daycare",53.4620215693521,-113.503838801231,NA
"15",2021-05-15,"Edmonton","Other","Heritage Hills Montessori Child Development, Sherwood Park","Other","Child care and education","Daycare",53.5406654800202,-113.260316801229,NA
"16",2021-05-15,"Edmonton","Other","Hospitals and Community Daycare, Edmonton","Other","Child care and education","Daycare",53.5178285197133,-113.527667660755,NA
"17",2021-05-15,"Edmonton","Other","Kepler Academy, Edmonton","Other","Child care and education","Daycare",53.5433391698819,-113.56417448467,NA
"18",2021-05-15,"Edmonton","Other","Kids Cove Daycare, Edmonton","Other","Child care and education","Daycare",53.4841259483005,-113.579773643558,NA
"19",2021-05-15,"Edmonton","Other","Olive Tree Learning Centre, Sherwood Park","Other","Child care and education","Preschool education",53.5174039800152,-113.309875272393,NA
"20",2021-05-15,"Edmonton","Other","Private day homes (2), Edmonton","Other","Child care and education","Daycare",53.5487777287959,-113.494787449609,NA
"21",2021-05-15,"Edmonton","Other","Seden Centre for Child Development, Sherwood Park","Other","Child care and education","Preschool education",53.5346668208164,-113.327308616574,NA
"22",2021-05-15,"Edmonton","Other","Sigis Childcare Society Larose, St. Albert","Other","Child care and education","Daycare",53.6467637782727,-113.649296001226,NA
"23",2021-05-15,"Edmonton","Other","Tender Touch Daycare, Edmonton","Other","Child care and education","Daycare",53.5700366224465,-113.468602916573,NA
"24",2021-05-15,"Edmonton","Other","The Meadows Early Learning and Child Care, Edmonton","Other","Child care and education","Daycare",53.477397409693,-113.370744301231,NA
"25",2021-05-15,"Edmonton","Other","Tiny Hoppers Summerside, Edmonton","Other","Child care and education","Daycare",53.4118469003995,-113.479510501232,NA
"26",2021-05-15,"Edmonton","Other","Tiny Steps Child Care Centre, Edmonton","Other","Child care and education","Daycare",53.4982656548082,-113.499563812956,NA
"27",2021-05-15,"Edmonton","Other","Treehouse Montessori Daycare, Edmonton","Other","Child care and education","Preschool education",53.4318617720056,-113.443218584034,NA
"28",2021-05-15,"Edmonton","Other","Victoria Daycare & After School Care, Edmonton","Other","Child care and education","Daycare",53.4506842691784,-113.428922101231,NA
"29",2021-05-15,"Edmonton","Other","YMCA Clareview Child Care, Edmonton","Other","Child care and education","Daycare",53.6025702789572,-113.401100472391,NA
"30",2021-05-15,"Central","Other","Boys and Girls Club Early Learning and Childcare Centre, Olds","Other","Child care and education","Daycare",51.7912656435959,-114.106883814771,NA
"31",2021-05-15,"Central","Other","Boys and Girls Club, Wetaskiwin","Other","Child care and education","Daycare",52.9712809020415,-113.375682345427,NA
"32",2021-05-15,"Central","Other","Kids 3 Blackfalds","Other","Child care and education","Daycare",52.3828057797884,-113.807987258935,NA
"33",2021-05-15,"Central","Other","Kidz in the Rockies Daycare, Rocky Mountain House","Other","Child care and education","Daycare",52.3701273927436,-114.917066930099,NA
"34",2021-05-15,"Central","Other","Little Star Play School, Blackfalds","Other","Child care and education","Daycare",52.3797615272408,-113.795422030099,NA
"35",2021-05-15,"Central","Other","Viking St. Francis Child Care Centre, Viking","Other","Child care and education","Daycare",53.0940358080406,-111.777903216587,NA
"36",2021-05-15,"Calgary","Other","A2Z Kidz Ed., Calgary","Other","Child care and education","Daycare",50.9781974144136,-114.057427974321,NA
"37",2021-05-15,"Calgary","Other","Active Start Childcare Country Hills Centre, Calgary","Other","Child care and education","Daycare",51.1415516795767,-114.072195830135,NA
"38",2021-05-15,"Calgary","Other","Active Start Childcare Sage Hill Centre, Calgary","Other","Child care and education","Daycare",51.182630801154,-114.160265215639,NA
"39",2021-05-15,"Calgary","Other","Alpine Montessori Childrens Centre, Calgary","Other","Child care and education","Daycare",51.025666079559,-114.146579476173,NA
"40",2021-05-15,"Calgary","Other","Bonavista Montessori Childrens Academy, Calgary","Other","Child care and education","Preschool education",50.949695357131,-114.065858028287,NA
"41",2021-05-15,"Calgary","Other","BrightPath Airdrie South","Other","Child care and education","Daycare",51.2717258605827,-113.993561279872,NA
"42",2021-05-15,"Calgary","Other","BrightPath Richmond, Calgary","Other","Child care and education","Daycare",51.0172498301934,-114.163249158975,NA
"43",2021-05-15,"Calgary","Other","BrightPath Sage Hill, Calgary","Other","Child care and education","Daycare",51.1700926337692,-114.147427216643,NA
"44",2021-05-15,"Calgary","Other","Brightpath Whitehorn, Calgary","Other","Child care and education","Daycare",51.0851626216775,-113.980994958973,NA
